coverage_cqr_ignore,length_cqr_ignore,coverage_oracle_full,length_oracle_full,coverage_pcp_xr,length_pcp_xr,pcp_xr_frac_inf,pcp_xr_precision,pcp_xr_clusters,pcp_xr_cluster_r2,coverage_pcp_xz,length_pcp_xz,pcp_xz_frac_inf,pcp_xz_precision,pcp_xz_clusters,pcp_xz_cluster_r2,coverage_pcp_xzhat,length_pcp_xzhat,pcp_xzhat_frac_inf,pcp_xzhat_precision,pcp_xzhat_clusters,pcp_xzhat_cluster_r2,coverage_pcp_xrzhat,length_pcp_xrzhat,pcp_xrzhat_frac_inf,pcp_xrzhat_precision,pcp_xrzhat_clusters,pcp_xrzhat_cluster_r2,coverage_em_pcp,length_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,use_x_in_em,em_converged,em_iter,em_loglik
0.9056666666666666,33.891721058286016,0.9016666666666666,51.65549737402468,0.9016666666666666,52.465008725958,0.0,20.0,1.0,0.0,0.9003333333333333,51.150361064394936,0.0,20.0,1.0,0.0,0.8933333333333333,47.037655872513916,0.0,20.0,1.0,0.0,0.888,46.71710295172914,0.0,20.0,1.0,0.0,0.883,37.16309733342422,0.0,1.0,4.0,,0.7606706573966254,0.5269283015934788,0.6999763718216943,1,4,0.5,False,True,13,-7710.09348567208
0.9086666666666666,35.40420530204568,0.902,53.35134917816367,0.8976666666666666,53.32336089230158,0.0,20.0,1.0,0.0,0.8953333333333333,52.67553258951883,0.0,20.0,1.0,1.1102230246251565e-16,0.8933333333333333,49.16438883177988,0.0,20.0,1.0,0.0,0.8946666666666667,49.08833313107475,0.0,20.0,1.0,0.0,0.8853333333333333,34.86907313763692,0.0,1.0,4.0,,0.7599347200849482,0.5209735416003352,0.684124264013123,1,4,0.75,False,True,97,-7792.981252202835
0.893,32.98293131031548,0.8876666666666667,43.36197880049825,0.894,46.79934897785141,0.0,20.0,1.0,0.0,0.8863333333333333,45.68915940198606,0.0,20.0,1.0,-2.220446049250313e-16,0.8766666666666667,39.73104097365251,0.0,20.0,1.0,1.1102230246251565e-16,0.8823333333333333,42.06069485481191,0.0,20.0,1.0,1.1102230246251565e-16,0.8646666666666667,30.697128720754904,0.0,1.0,4.0,,0.7625194857186589,0.5452491147142164,0.7204488395691014,1,4,1.0,False,True,39,-7866.306748066657
0.9063333333333333,34.46392444931104,0.905,54.756332152257386,0.9003333333333333,57.01973344402574,0.0,20.0,1.0,-2.220446049250313e-16,0.9026666666666666,57.183988276103825,0.0,20.0,1.0,-2.220446049250313e-16,0.9046666666666666,55.37269773458742,0.0,20.0,1.0,1.1102230246251565e-16,0.9,54.51302735870677,0.0,20.0,1.0,1.1102230246251565e-16,0.885,35.679956386254794,0.0,1.0,4.0,,0.7499337807816875,1.151594525007093,0.7328857737206358,1,4,1.5,False,True,27,-7847.945475501373
0.8973333333333333,33.052248715459676,0.9043333333333333,53.306410804111835,0.9076666666666666,54.976728404719246,0.0,20.0,1.0,1.1102230246251565e-16,0.9026666666666666,53.56226611281978,0.0,20.0,1.0,0.0,0.893,49.75153599413415,0.0,20.0,1.0,-2.220446049250313e-16,0.9016666666666666,52.56712136824797,0.0,20.0,1.0,-2.220446049250313e-16,0.879,35.137570900681816,0.0,1.0,4.0,,0.7673548722631173,0.5453641248608038,0.7371450691561107,1,4,2.0,False,True,14,-7789.699297322719
0.881,32.00005804246878,0.916,56.034182575631405,0.9166666666666666,57.88419624442615,0.0,20.0,1.0,0.0,0.9136666666666666,55.80455179624054,0.0,20.0,1.0,1.1102230246251565e-16,0.907,51.43404328857473,0.0,20.0,1.0,0.0,0.909,52.45662812192292,0.0,20.0,1.0,0.0,0.8696666666666667,30.916968068933734,0.0,1.0,4.0,,0.7664147695533993,0.524546501955491,0.695509826333559,2,4,0.5,False,True,105,-7871.996240838827
0.891,34.08625759141081,0.9163333333333333,59.389469114738496,0.9103333333333333,58.147003699759125,0.0,20.0,1.0,0.0,0.912,59.78902788892431,0.0,20.0,1.0,0.0,0.9106666666666666,57.3680637318373,0.0,20.0,1.0,0.0,0.9086666666666666,56.043234590679056,0.0,20.0,1.0,2.220446049250313e-16,0.884,35.711644054894926,0.0,1.0,4.0,,0.7559577546578651,0.5314149760158908,0.7069836548588703,2,4,0.75,False,True,38,-7776.411289422295
0.8796666666666667,32.44667324157103,0.8976666666666666,50.014901042370965,0.8923333333333333,47.42658493728572,0.0,20.0,1.0,1.1102230246251565e-16,0.8923333333333333,49.65691738757835,0.0,20.0,1.0,0.0,0.875,41.42679321325455,0.0,20.0,1.0,0.0,0.8746666666666667,41.53921531823239,0.0,20.0,1.0,-2.220446049250313e-16,0.8703333333333333,33.569789947914686,0.0,1.0,4.0,,0.76103474165994,1.268643683499885,0.7119722456572366,2,4,1.0,False,True,26,-7940.417068383353
0.9,33.30836830975198,0.914,57.60184284017856,0.911,58.47196786629264,0.0,20.0,1.0,1.1102230246251565e-16,0.9076666666666666,56.550292336569285,0.0,20.0,1.0,1.1102230246251565e-16,0.9073333333333333,55.458084599440895,0.0,20.0,1.0,-2.220446049250313e-16,0.9066666666666666,55.26665531943096,0.0,20.0,1.0,1.1102230246251565e-16,0.8803333333333333,37.77979873735558,0.0,1.0,4.0,,0.7356621068385992,1.0226389883329596,0.8396605324340929,2,4,1.5,False,True,13,-7903.795225598591
0.891,33.972773450989706,0.889,49.248040658264905,0.8856666666666667,47.9386453359764,0.0,20.0,1.0,-2.220446049250313e-16,0.8883333333333333,49.17320132843417,0.0,20.0,1.0,0.0,0.876,43.86042205766785,0.0,20.0,1.0,-2.220446049250313e-16,0.861,38.60581318735218,0.0,20.0,1.0,0.0,0.8613333333333333,32.61443973238515,0.0,1.0,4.0,,0.7616204882576149,0.5354579298945009,0.7178233910464559,2,4,2.0,False,True,19,-7913.47358287474
