coverage_oracle,length_oracle,coverage_soft,length_soft,coverage_ignore,length_ignore,len_ratio_soft,len_ratio_ignore,coverage_pcp,length_pcp,len_ratio_pcp,pcp_frac_inf,pcp_precision,pcp_clusters,pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,rho,sigma_y,b_scale,use_x_in_em,em_converged,em_iter,em_loglik
0.8933333333333333,3.280604040043889,0.8966666666666666,3.306665778877788,0.8916666666666667,3.2678058555117313,1.0079441890931617,0.9960988329051785,0.8956666666666667,3.287689552373557,1.0021598194244659,0.0,20.0,1.0,0.0,0.6728027632145037,10.112676423511283,0.5852355512294672,1,10,0.1,0.0,1.0,1.0,False,True,76,-20486.036864280355
0.8876666666666667,3.2073457216149004,0.8906666666666667,3.227674016225904,0.889,3.218185859887107,1.0063380428477067,1.0033797847856416,0.8856666666666667,3.2145192112382683,1.0022365813498135,0.0,20.0,1.0,0.0,0.7339122126608727,9.636082767511121,0.5402022981533136,1,10,0.1,0.0,1.0,1.0,True,True,120,-30689.16769505525
0.9083333333333333,6.884765601089629,0.9063333333333333,6.855548091089978,0.9033333333333333,6.832705953097274,0.9957562084619079,0.9924384284071899,0.9003333333333333,6.754863040271245,0.9811318832992912,0.0,20.0,1.0,-2.220446049250313e-16,0.733901483432096,11.564949745228034,0.6647118857411854,1,10,0.1,0.0,2.0,1.0,False,True,135,-20643.722117257887
0.901,6.562701972185429,0.898,6.515609906818516,0.902,6.5215535476688995,0.992824287074668,0.99372995685452,0.9006666666666666,6.555117142627124,0.9988442520183834,0.0,20.0,1.0,2.220446049250313e-16,0.7275023649723209,9.808331666889588,0.5352656714530694,1,10,0.1,0.0,2.0,1.0,True,True,85,-30715.053069564245
0.897,10.015884229284895,0.8966666666666666,9.959406407067995,0.8966666666666666,9.96912813370921,0.9943611746178368,0.9953318055095948,0.8953333333333333,9.919327931012104,0.9903596830731654,0.0,20.0,1.0,-2.220446049250313e-16,0.6852862879490764,10.471128078519888,0.6533594602211014,1,10,0.1,0.0,3.0,1.0,False,True,129,-20486.7590148735
0.896,9.950372552430144,0.896,9.931290050037411,0.8966666666666666,9.926615355054308,0.9980822323694732,0.9976124313687095,0.899,9.962285159957458,1.0011972021614814,0.0,20.0,1.0,0.0,0.7338776120587208,10.082151922900795,0.6106711273360801,1,10,0.1,0.0,3.0,1.0,True,True,100,-30634.5936169802
0.8836666666666667,3.2665984573903835,0.8893333333333333,3.385939965619936,0.8883333333333333,3.354095333021145,1.0365338776057869,1.0267853171340382,0.8836666666666667,3.381610305289868,1.035208443706719,0.0,20.0,1.0,0.0,0.6982503232457401,10.524748353171256,0.960472734777692,1,10,1.0,0.0,1.0,1.0,False,True,135,-20884.69181730366
0.9063333333333333,3.3832545972018515,0.906,3.4414889371591553,0.9063333333333333,3.4386339473401444,1.0172125207501284,1.0163686617566692,0.9083333333333333,3.4678967502131153,1.0250179673386886,0.0,20.0,1.0,0.0,0.7321130169953439,10.128197106364674,1.0490211270768133,1,10,1.0,0.0,1.0,1.0,True,True,121,-31012.39839030327
0.8863333333333333,6.310027312488865,0.8913333333333333,6.331992048837157,0.8886666666666667,6.274246787865813,1.0034809257172024,0.9943295769017934,0.8893333333333333,6.332946017028469,1.0036321086113595,0.0,20.0,1.0,0.0,0.6846135921574551,10.295138027085066,1.0205356332529119,1,10,1.0,0.0,2.0,1.0,False,True,135,-20939.96871541336
0.9036666666666666,6.552048985707263,0.8933333333333333,6.420316364559325,0.8973333333333333,6.47345275537685,0.9798944389098279,0.9880043280351134,0.895,6.45745341042771,0.9855624438269761,0.0,20.0,1.0,-2.220446049250313e-16,0.7301226165448029,9.461592473393058,0.9896544393872336,1,10,1.0,0.0,2.0,1.0,True,True,62,-30887.35556956227
