trial,seed,method,coverage_rate,avg_length,coverage_vs_scp,length_efficiency_vs_scp,noisy_accuracy,ambiguous_rate
1,740963724,SCP,0.891,4.307523098666592,0.0,1.0,0.998,0.008
1,740963724,Cluster-wise Oracle,0.894,4.372807584076589,0.003,0.9850703503058932,0.998,0.008
1,740963724,PCP,0.908,4.736895753530527,0.017,0.9093556883653364,0.998,0.008
2,845074792,SCP,0.935,3.695216527540645,0.0,1.0,0.994,0.015
2,845074792,Cluster-wise Oracle,0.912,3.3516094896228568,-0.023,1.1025200098584436,0.994,0.015
2,845074792,PCP,0.932,3.77314030172821,-0.003,0.9793477665932874,0.994,0.015
3,107340830,SCP,0.881,2.8043298657530253,0.0,1.0,0.996,0.007
3,107340830,Cluster-wise Oracle,0.864,2.7850231118012214,-0.017,1.006932349634728,0.996,0.007
3,107340830,PCP,0.881,2.9331026893049814,0.0,0.9560967217337796,0.996,0.007
4,160973091,SCP,0.887,6.622362064980776,0.0,1.0,0.983,0.04
4,160973091,Cluster-wise Oracle,0.887,6.55742857279997,0.0,1.0099022797518753,0.983,0.04
4,160973091,PCP,0.906,7.034849154509407,0.019,0.9413651834646344,0.983,0.04
5,557744547,SCP,0.917,3.028105015471529,0.0,1.0,0.997,0.003
5,557744547,Cluster-wise Oracle,0.91,2.9709976206025903,-0.007,1.0192216225529511,0.997,0.003
5,557744547,PCP,0.914,3.1347629216115798,-0.003,0.9659757663315676,0.997,0.003
6,761633120,SCP,0.923,3.012969735531883,0.0,1.0,0.958,0.079
6,761633120,Cluster-wise Oracle,0.916,3.0001566851393995,-0.007,1.004270793740857,0.958,0.079
6,761633120,PCP,0.926,3.053833608429355,0.003,0.9866188279594942,0.958,0.079
7,368079941,SCP,0.921,4.361873095227746,0.0,1.0,0.991,0.019
7,368079941,Cluster-wise Oracle,0.916,4.32183109006961,-0.005,1.0092650555571552,0.991,0.019
7,368079941,PCP,0.936,4.888392248352653,0.015,0.8922919589150524,0.991,0.019
8,35819287,SCP,0.901,6.369179880537355,0.0,1.0,0.992,0.016
8,35819287,Cluster-wise Oracle,0.894,5.974562801389455,-0.007,1.0660495323701555,0.992,0.016
8,35819287,PCP,0.906,6.496450335421009,0.005,0.9804092314552566,0.992,0.016
9,214941963,SCP,0.901,4.10751429423763,0.0,1.0,0.999,0.002
9,214941963,Cluster-wise Oracle,0.887,3.746733700173411,-0.014,1.0962920300547436,0.999,0.002
9,214941963,PCP,0.898,3.9394146604422446,-0.003,1.042671221053057,0.999,0.002
10,456282377,SCP,0.893,2.961471880527237,0.0,1.0,0.99,0.016
10,456282377,Cluster-wise Oracle,0.89,2.9646628552004324,-0.003,0.9989236635566848,0.99,0.016
10,456282377,PCP,0.915,3.3433199154090287,0.022,0.8857877664886653,0.99,0.016
11,385824037,SCP,0.905,4.00979169212566,0.0,1.0,0.999,0.005
11,385824037,Cluster-wise Oracle,0.943,4.573180799013291,0.0379999999999999,0.8768058531582246,0.999,0.005
11,385824037,PCP,0.95,5.044949548279723,0.0449999999999999,0.7948130409932362,0.999,0.005
12,915269920,SCP,0.879,4.578529591512706,0.0,1.0,1.0,0.0
12,915269920,Cluster-wise Oracle,0.89,4.677531920894728,0.011,0.978834494118624,1.0,0.0
12,915269920,PCP,0.912,5.385378438769456,0.033,0.8501778739543674,1.0,0.0
13,428164498,SCP,0.912,4.984328463500218,0.0,1.0,0.991,0.023
13,428164498,Cluster-wise Oracle,0.921,5.244734729773936,0.009,0.9503490110194874,0.991,0.023
13,428164498,PCP,0.941,6.051152071135786,0.0289999999999999,0.8236990914962532,0.991,0.023
14,638101170,SCP,0.913,4.164213294524286,0.0,1.0,1.0,0.0
14,638101170,Cluster-wise Oracle,0.925,4.21039178522449,0.012,0.989032258028277,1.0,0.0
14,638101170,PCP,0.932,4.362086690279874,0.019,0.9546379038737324,1.0,0.0
15,611343108,SCP,0.912,6.56247341213276,0.0,1.0,0.986,0.026
15,611343108,Cluster-wise Oracle,0.899,7.051392052588748,-0.013,0.9306635290153108,0.986,0.026
15,611343108,PCP,0.904,7.2513839758322,-0.008,0.904995988904259,0.986,0.026
16,91056656,SCP,0.917,4.786001660478539,0.0,1.0,0.982,0.032
16,91056656,Cluster-wise Oracle,0.897,4.252358595924847,-0.02,1.1254934297086554,0.982,0.032
16,91056656,PCP,0.909,4.519225406941639,-0.008,1.059031411251832,0.982,0.032
17,736385870,SCP,0.907,5.317090224635889,0.0,1.0,1.0,0.001
17,736385870,Cluster-wise Oracle,0.911,5.52583420731335,0.004,0.962223987393398,1.0,0.001
17,736385870,PCP,0.94,6.323597473173997,0.0329999999999999,0.8408331250039366,1.0,0.001
18,49947121,SCP,0.873,4.292269299321729,0.0,1.0,0.981,0.033
18,49947121,Cluster-wise Oracle,0.895,4.280263482349412,0.022,1.0028049247486344,0.981,0.033
18,49947121,PCP,0.921,4.801695644286312,0.048,0.8939069898004125,0.981,0.033
19,15289656,SCP,0.921,5.565019184796408,0.0,1.0,0.986,0.029
19,15289656,Cluster-wise Oracle,0.905,5.270741895227601,-0.016,1.055832232998406,0.986,0.029
19,15289656,PCP,0.924,5.52469521962152,0.003,1.007298857868516,0.986,0.029
20,585341187,SCP,0.916,5.449732661829456,0.0,1.0,0.989,0.025
20,585341187,Cluster-wise Oracle,0.899,5.392670870324035,-0.017,1.0105813599378803,0.989,0.025
20,585341187,PCP,0.91,5.732705954773365,-0.006,0.9506387916672596,0.989,0.025
21,254040913,SCP,0.918,3.0810326089598474,0.0,1.0,1.0,0.0
21,254040913,Cluster-wise Oracle,0.894,2.8225764874964776,-0.024,1.0915674464831282,1.0,0.0
21,254040913,PCP,0.907,2.9565963391757943,-0.011,1.0420876763375626,1.0,0.0
22,366052385,SCP,0.92,5.187123590813073,0.0,1.0,0.998,0.004
22,366052385,Cluster-wise Oracle,0.915,5.40730605531959,-0.005,0.959280561844672,0.998,0.004
22,366052385,PCP,0.932,6.73459955124545,0.012,0.770220048177,0.998,0.004
23,604145854,SCP,0.933,4.254873497891607,0.0,1.0,0.985,0.027
23,604145854,Cluster-wise Oracle,0.931,4.23939527899976,-0.002,1.003651044045956,0.985,0.027
23,604145854,PCP,0.953,4.613151016390286,0.0199999999999999,0.9223356189238684,0.985,0.027
24,156417275,SCP,0.892,3.9877703403230393,0.0,1.0,0.997,0.006
24,156417275,Cluster-wise Oracle,0.872,3.806669933615341,-0.02,1.047574496834744,0.997,0.006
24,156417275,PCP,0.885,3.932223911242843,-0.007,1.0141259578126716,0.997,0.006
25,83736694,SCP,0.922,3.455678257202216,0.0,1.0,1.0,0.0
25,83736694,Cluster-wise Oracle,0.919,3.2674529221524806,-0.003,1.057606135278527,1.0,0.0
25,83736694,PCP,0.927,3.393985759724613,0.005,1.0181770053986934,1.0,0.0
26,700763569,SCP,0.908,10.392784989076493,0.0,1.0,0.972,0.053
26,700763569,Cluster-wise Oracle,0.896,9.308589928534117,-0.012,1.116472534386646,0.972,0.053
26,700763569,PCP,0.924,10.593546934009346,0.016,0.9810486566790646,0.972,0.053
27,997763680,SCP,0.894,3.705440477712445,0.0,1.0,1.0,0.0
27,997763680,Cluster-wise Oracle,0.884,3.486090024210335,-0.01,1.0629216262284555,1.0,0.0
27,997763680,PCP,0.903,3.73359545257042,0.009,0.9924590183334964,1.0,0.0
28,682867822,SCP,0.916,4.7416218758590025,0.0,1.0,0.999,0.006
28,682867822,Cluster-wise Oracle,0.893,4.901596080731766,-0.023,0.9673628340161232,0.999,0.006
28,682867822,PCP,0.899,5.077582928117699,-0.017,0.9338344529247816,0.999,0.006
29,832346124,SCP,0.928,4.934622100832371,0.0,1.0,0.989,0.015
29,832346124,Cluster-wise Oracle,0.903,4.383006299758566,-0.025,1.1258532987060024,0.989,0.015
29,832346124,PCP,0.917,4.778431130055566,-0.011,1.032686663577589,0.989,0.015
30,414455219,SCP,0.891,4.336553413062255,0.0,1.0,0.996,0.007
30,414455219,Cluster-wise Oracle,0.856,3.9586253261244537,-0.035,1.0954695268692676,0.996,0.007
30,414455219,PCP,0.884,4.280401575669537,-0.007,1.0131183573316798,0.996,0.007
31,36777357,SCP,0.907,6.070306227819236,0.0,1.0,0.99,0.018
31,36777357,Cluster-wise Oracle,0.866,5.09585435380773,-0.041,1.1912244358560553,0.99,0.018
31,36777357,PCP,0.88,5.3341458643037205,-0.027,1.138009042542673,0.99,0.018
32,650520512,SCP,0.901,4.770941913194145,0.0,1.0,0.996,0.007
32,650520512,Cluster-wise Oracle,0.908,4.850610898580115,0.007,0.98357547388324,0.996,0.007
32,650520512,PCP,0.916,5.169399247141366,0.015,0.9229199922664968,0.996,0.007
33,567539812,SCP,0.924,4.6658526199542525,0.0,1.0,1.0,0.0
33,567539812,Cluster-wise Oracle,0.902,4.121372971004925,-0.022,1.1321112291413329,1.0,0.0
33,567539812,PCP,0.927,4.582766848385825,0.003,1.0181300455199227,1.0,0.0
34,748877674,SCP,0.919,5.176543474734235,0.0,1.0,0.996,0.01
34,748877674,Cluster-wise Oracle,0.88,4.50889104933785,-0.039,1.1480746414341576,0.996,0.01
34,748877674,PCP,0.9,5.035253400451871,-0.019,1.0280601715634976,0.996,0.01
35,609340136,SCP,0.931,11.744969906785425,0.0,1.0,0.991,0.027
35,609340136,Cluster-wise Oracle,0.901,10.130311930386968,-0.03,1.159388771786495,0.991,0.027
35,609340136,PCP,0.912,10.798940553486162,-0.019,1.0876039041620489,0.991,0.027
36,486925602,SCP,0.875,7.177524364349236,0.0,1.0,0.985,0.025
36,486925602,Cluster-wise Oracle,0.883,6.990690596375551,0.008,1.0267260816936388,0.985,0.025
36,486925602,PCP,0.903,7.798063440909748,0.028,0.9204239512460136,0.985,0.025
37,6926579,SCP,0.91,4.55394355737924,0.0,1.0,0.998,0.007
37,6926579,Cluster-wise Oracle,0.89,4.60869703079174,-0.02,0.9881195329077438,0.998,0.007
37,6926579,PCP,0.905,4.897173978370553,-0.005,0.9299125531363056,0.998,0.007
38,698330076,SCP,0.916,4.223202887645662,0.0,1.0,1.0,0.0
38,698330076,Cluster-wise Oracle,0.901,4.014574254547453,-0.015,1.051967810250835,1.0,0.0
38,698330076,PCP,0.921,4.43941985099436,0.005,0.9512961218794684,1.0,0.0
39,179083873,SCP,0.893,4.488110542435706,0.0,1.0,0.999,0.002
39,179083873,Cluster-wise Oracle,0.889,4.522992407344469,-0.004,0.992287878959929,0.999,0.002
39,179083873,PCP,0.898,4.666039039026151,0.005,0.9618673364919852,0.999,0.002
40,479798436,SCP,0.886,4.586493084381031,0.0,1.0,0.989,0.017
40,479798436,Cluster-wise Oracle,0.88,4.891390077524402,-0.006,0.937666596139132,0.989,0.017
40,479798436,PCP,0.884,5.085312791138715,-0.002,0.9019097295987596,0.989,0.017
41,164922213,SCP,0.891,4.14534748600581,0.0,1.0,0.97,0.053
41,164922213,Cluster-wise Oracle,0.879,3.967216672338539,-0.012,1.0449007020234842,0.97,0.053
41,164922213,PCP,0.898,4.375521163958847,0.007,0.94739514006949,0.97,0.053
42,576473386,SCP,0.89,4.334939762781396,0.0,1.0,0.998,0.002
