coverage_oracle,length_oracle,coverage_soft,length_soft,coverage_ignore,length_ignore,len_ratio_soft,len_ratio_ignore,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,rho,sigma_y,b_scale,use_x_in_em,em_converged,em_iter,em_loglik
0.908,1.668559643840205,0.9113333333333333,4.2121634926860025,0.906,4.188811927574347,2.5244308815905856,2.510435837902539,0.6974551541463822,8.854501958033863,1.0302723077244038,1,10,1.0,0.0,0.5,5.0,False,True,128,-20942.224402002634
0.9026666666666666,1.6560730263460939,0.8953333333333333,3.988579833496791,0.8996666666666666,3.9920158338434875,2.4084564931880235,2.410531281130363,0.7360427455437694,9.981660525518985,0.9351873654192918,1,10,1.0,0.0,0.5,5.0,True,True,140,-30696.40765589807
0.884,3.1945765682019625,0.8846666666666667,4.831381638202009,0.8826666666666667,4.820800513737895,1.512369960480023,1.5090577454686702,0.700448644833252,9.738799901916932,1.118304584006106,1,10,1.0,0.0,1.0,5.0,False,True,124,-21074.181147077055
0.92,3.4329383673541125,0.909,4.926331788218379,0.911,4.9453590099931635,1.4350190015252962,1.4405615483871117,0.7193699080863722,8.882416878708295,0.9551278108436433,1,10,1.0,0.0,1.0,5.0,True,True,109,-31053.423184606836
0.9186666666666666,5.165107404554422,0.916,6.294139363524534,0.914,6.2474185865302205,1.2185882829802472,1.2095428220953262,0.7084590167202144,10.979145728383003,1.0477689576149773,1,10,1.0,0.0,1.5,5.0,False,True,109,-20926.271967601093
0.899,5.0200785780694925,0.8793333333333333,5.905434073056384,0.8803333333333333,5.882746824645817,1.1763628758431428,1.1718435743904372,0.7345397953105558,10.323695570092942,0.8805543999956644,1,10,1.0,0.0,1.5,5.0,True,True,118,-30964.99709388017
0.883,1.586433256512299,0.8926666666666667,9.949073625112408,0.887,10.848587264617755,6.271347114208254,6.838350885600999,0.7177507385842039,8.24964006175805,3.53973249156646,1,10,3.0,0.0,0.5,5.0,False,True,63,-22863.100464131414
0.9253333333333333,1.7101195840757377,0.8916666666666667,9.60584575382536,0.894,10.757921087775918,5.61706084374035,6.290741997197941,0.759543464831909,10.21612632515601,3.7733607466135677,1,10,3.0,0.0,0.5,5.0,True,True,63,-32962.707105944224
0.892,3.254072435135619,0.8766666666666667,10.006903751276802,0.9023333333333333,11.2256425945662,3.075193914931936,3.449721178102279,0.7419396857959009,8.713226034424528,3.5420058912681536,1,10,3.0,0.0,1.0,5.0,False,True,135,-22898.276600874622
0.8886666666666667,3.164877092058992,0.906,10.633455991267699,0.8976666666666666,11.069468239052092,3.359832208949963,3.4975981426977203,0.7492174948747133,9.290114758498847,3.9823214100007873,1,10,3.0,0.0,1.0,5.0,True,True,108,-33091.116125793575
0.8906666666666667,4.845049965570318,0.8916666666666667,11.030163920633733,0.8966666666666666,12.24381036162971,2.276584142375373,2.527076180562871,0.7429033547644249,14.476903938845636,3.6718804447725226,1,10,3.0,0.0,1.5,5.0,False,True,122,-22960.096627901286
0.8953333333333333,4.945473346183004,0.8856666666666667,11.59587433504549,0.8996666666666666,12.375943565773387,2.344745087746833,2.5024790751981993,0.7524359996505475,11.288324325074639,3.7893670046262353,1,10,3.0,0.0,1.5,5.0,True,True,152,-33044.16009666754
0.8923333333333333,1.6366925092548756,0.9066666666666666,3.4988541774582895,0.8906666666666667,18.60856137694448,2.137759021730469,11.369613578433407,0.9532467956312677,13.173889996841705,1.2423583274269006,1,10,5.0,0.0,0.5,5.0,False,True,11,-24208.45968464025
0.88,1.6009118002749148,0.8913333333333333,2.7184271801169952,0.8836666666666667,17.14699884487763,1.698049311430009,10.710770475883232,0.9571915958561461,13.51792113498997,1.2094357985710624,1,10,5.0,0.0,0.5,5.0,True,True,10,-34574.549112374676
0.8766666666666667,3.1736301890564143,0.9123333333333333,4.722015552830963,0.884,18.240364182440356,1.4878909234963245,5.747476264039318,0.9556272694542793,12.81333292915735,1.0242270890905965,1,10,5.0,0.0,1.0,5.0,False,True,11,-24150.9076325103
0.8976666666666666,3.2936621745202426,0.8936666666666667,4.56297965481061,0.9006666666666666,21.79745529158829,1.385381806947234,6.617999702645073,0.9487326456871215,12.23019101066752,1.391618811843604,1,10,5.0,0.0,1.0,5.0,True,True,11,-34501.01388962946
0.898,4.944823804700825,0.898,5.963196013381324,0.923,18.10330633754056,1.2059471174104077,3.661061961465755,0.9588326451048949,12.52080253820428,1.0148203390416344,1,10,5.0,0.0,1.5,5.0,False,True,12,-24195.251198628714
0.8826666666666667,4.7761771339422285,0.894,6.467262850122687,0.911,16.84491249797123,1.3540667920715592,3.5268609236164443,0.9507315586237586,11.053646301772547,1.4074447619981694,1,10,5.0,0.0,1.5,5.0,True,True,16,-34451.77475797308
0.903,1.656610966294192,0.903,1.6566062818398706,0.895,37.99182907159294,0.9999971722665028,22.933464672505433,0.9999998638081622,27.578255528898737,0.0620250483510264,1,10,10.0,0.0,0.5,5.0,False,True,3,-24453.468292762147
0.9076666666666666,1.6894901867451413,0.9076666666666666,1.6894848657017665,0.89,43.45415554188691,0.9999968505035326,25.7202769704172,0.9999999498678828,22.38382625984499,0.046598925062836805,1,10,10.0,0.0,0.5,5.0,True,True,3,-34798.25286122921
0.8893333333333333,3.2612801297354252,0.8893333333333333,3.261280586249697,0.9036666666666666,37.21439119419888,1.0000001399800855,11.410976583976531,0.9999981702176101,25.00366726697837,0.06405736800851664,1,10,10.0,0.0,1.0,5.0,False,True,3,-24248.670132937386
