coverage_cqr_ignore,length_cqr_ignore,coverage_pcp_base,length_pcp_base,pcp_base_frac_inf,pcp_base_precision,pcp_base_clusters,pcp_base_cluster_r2,coverage_em_pcp,length_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,use_x_in_em,em_converged,em_iter,em_loglik
0.9006666666666666,13.058503571743488,0.9056666666666666,16.201413493047717,0.0,20.0,1.0,0.0,0.8883333333333333,14.017304269319952,0.0,1.0,4.0,,0.7597895386568226,0.5270959851492302,0.699613553191263,1,4,0.5,False,True,34,-7123.791862506013
0.9136666666666666,13.474290915409954,0.908,16.452055704705884,0.0,20.0,1.0,0.0,0.9016666666666666,14.181366466634165,0.0,1.0,4.0,,0.7612035096999743,0.5207299298346015,0.6834781888715419,1,4,0.75,False,True,113,-7173.849397558446
0.8803333333333333,12.748710694103822,0.8846666666666667,14.288222287151827,0.0,20.0,1.0,-2.220446049250313e-16,0.87,13.090363518795375,0.0,1.0,4.0,,0.7180717568668703,1.8710098127802608,0.8335163696043352,1,4,1.0,False,True,21,-7572.268783631958
0.9076666666666666,13.686728423575264,0.8846666666666667,15.964211852668816,0.0,20.0,1.0,0.0,0.8713333333333333,13.686668773112304,0.0,1.0,4.0,,0.7511521435222185,1.2557996543957894,0.7196372744487045,1,4,1.5,False,True,25,-7240.094126408829
0.902,13.685089071340423,0.9046666666666666,16.33710773942622,0.0,20.0,1.0,0.0,0.9003333333333333,14.642656647402527,0.0,1.0,4.0,,0.7655235532252476,0.545491207703019,0.7373737619822752,1,4,2.0,False,True,40,-7228.992443962027
0.8996666666666666,12.48054735331815,0.9103333333333333,16.481232183103007,0.0,20.0,1.0,0.0,0.8783333333333333,12.96619810400491,0.0,1.0,4.0,,0.7559155091264752,4.396967335971654,0.7378451580911598,2,4,0.5,False,True,34,-7725.031571756108
0.8876666666666667,12.914826857005707,0.915,17.087346800899297,0.0,20.0,1.0,0.0,0.889,13.854294493799854,0.0,1.0,4.0,,0.7548663579176685,0.531483548844067,0.708508112890491,2,4,0.75,False,True,39,-7186.08170412811
0.8886666666666667,12.975366708575054,0.895,15.605896613034048,0.0,20.0,1.0,0.0,0.869,13.28323725166773,0.0,1.0,4.0,,0.7567472698863521,6.723592379418195,0.838168666341901,2,4,1.0,False,True,21,-8077.91417728833
0.898,13.467818293111396,0.9126666666666666,17.138762484278686,0.0,20.0,1.0,2.220446049250313e-16,0.892,14.727784071977808,0.0,1.0,4.0,,0.7555639685471406,0.5712369054768026,0.770209531169915,2,4,1.5,False,True,37,-7218.83071784638
0.901,13.470065288638798,0.8793333333333333,14.553971762172987,0.0,20.0,1.0,0.0,0.8813333333333333,13.385028833100044,0.0,1.0,4.0,,0.7625211469252172,0.5349865499582254,0.7175432758913312,2,4,2.0,False,True,21,-7280.265234684388
